timestamp,tanknumber,pH_Value,temp_Value
2025-09-15T18:28:00,1,7.51,25.05
2025-09-15T18:28:00,2,7.02,23.98
2025-09-15T18:28:00,3,8.00,27.02
2025-09-15T18:29:00,1,7.52,25.07
2025-09-15T18:29:00,2,7.01,23.96
2025-09-15T18:29:00,3,8.01,27.04
2025-09-15T18:30:00,1,7.53,25.10
2025-09-15T18:30:00,2,7.00,23.95
2025-09-15T18:30:00,3,8.02,27.06
2025-09-15T18:31:00,1,7.55,25.12
2025-09-15T18:31:00,2,6.99,23.93
2025-09-15T18:31:00,3,8.03,27.08
2025-09-15T18:32:00,1,7.56,25.15
2025-09-15T18:32:00,2,6.98,23.92
2025-09-15T18:32:00,3,8.04,27.11
2025-09-15T18:33:00,1,7.57,25.17
2025-09-15T18:33:00,2,6.97,23.90
2025-09-15T18:33:00,3,8.05,27.13
2025-09-15T18:34:00,1,7.58,25.20
2025-09-15T18:34:00,2,6.96,23.89
2025-09-15T18:34:00,3,8.07,27.15
2025-09-15T18:35:00,1,7.60,25.22
2025-09-15T18:35:00,2,6.95,23.87
2025-09-15T18:35:00,3,8.08,27.18
2025-09-15T18:36:00,1,7.61,25.25
2025-09-15T18:36:00,2,6.95,23.86
2025-09-15T18:36:00,3,8.09,27.20
2025-09-15T18:37:00,1,7.62,25.27
2025-09-15T18:37:00,2,6.94,23.84
2025-09-15T18:37:00,3,8.10,27.22
2025-09-15T18:38:00,1,7.63,25.30
2025-09-15T18:38:00,2,6.93,23.83
2025-09-15T18:38:00,3,8.11,27.25
2025-09-15T18:39:00,1,7.64,25.32
2025-09-15T18:39:00,2,6.92,23.81
2025-09-15T18:39:00,3,8.12,27.27
2025-09-15T18:40:00,1,7.66,25.35
2025-09-15T18:40:00,2,6.92,23.80
2025-09-15T18:40:00,3,8.14,27.29
2025-09-15T18:41:00,1,7.67,25.37
2025-09-15T18:41:00,2,6.91,23.78
2025-09-15T18:41:00,3,8.15,27.32
2025-09-15T18:42:00,1,7.68,25.39
2025-09-15T18:42:00,2,6.90,23.77
2025-09-15T18:42:00,3,8.16,27.34
2025-09-15T18:43:00,1,7.69,25.42
2025-09-15T18:43:00,2,6.90,23.76
2025-09-15T18:43:00,3,8.17,27.36
2025-09-15T18:44:00,1,7.70,25.44
2025-09-15T18:44:00,2,6.89,23.74
2025-09-15T18:44:00,3,8.18,27.39
2025-09-15T18:45:00,1,7.71,25.46
2025-09-15T18:45:00,2,6.88,23.73
2025-09-15T18:45:00,3,8.19,27.41
2025-09-15T18:46:00,1,7.72,25.49
2025-09-15T18:46:00,2,6.88,23.71
2025-09-15T18:46:00,3,8.20,27.43
2025-09-15T18:47:00,1,7.73,25.51
2025-09-15T18:47:00,2,6.87,23.70
2025-09-15T18:47:00,3,8.21,27.45
2025-09-15T18:48:00,1,7.74,25.53
2025-09-15T18:48:00,2,6.87,23.69
2025-09-15T18:48:00,3,8.22,27.48
2025-09-15T18:49:00,1,7.75,25.55
2025-09-15T18:49:00,2,6.86,23.67
2025-09-15T18:49:00,3,8.23,27.50
2025-09-15T18:50:00,1,7.76,25.58
2025-09-15T18:50:00,2,6.86,23.66
2025-09-15T18:50:00,3,8.24,27.52
2025-09-15T18:51:00,1,7.77,25.60
2025-09-15T18:51:00,2,6.85,23.65
2025-09-15T18:51:00,3,8.25,27.54
2025-09-15T18:52:00,1,7.78,25.62
2025-09-15T18:52:00,2,6.85,23.63
2025-09-15T18:52:00,3,8.26,27.56
2025-09-15T18:53:00,1,7.79,25.64
2025-09-15T18:53:00,2,6.84,23.62
2025-09-15T18:53:00,3,8.27,27.59
2025-09-15T18:54:00,1,7.80,25.66
2025-09-15T18:54:00,2,6.84,23.61
2025-09-15T18:54:00,3,8.28,27.61
2025-09-15T18:55:00,1,7.81,25.68
2025-09-15T18:55:00,2,6.83,23.59
2025-09-15T18:55:00,3,8.29,27.63
2025-09-15T18:56:00,1,7.82,25.70
2025-09-15T18:56:00,2,6.83,23.58
2025-09-15T18:56:00,3,8.30,27.65
2025-09-15T18:57:00,1,7.83,25.72
2025-09-15T18:57:00,2,6.83,23.57
2025-09-15T18:57:00,3,8.31,27.67
2025-09-15T18:58:00,1,7.84,25.74
2025-09-15T18:58:00,2,6.82,23.56
2025-09-15T18:58:00,3,8.32,27.69
2025-09-15T18:59:00,1,7.85,25.76
2025-09-15T18:59:00,2,6.82,23.54
2025-09-15T18:59:00,3,8.33,27.71
2025-09-15T19:00:00,1,7.86,25.78
2025-09-15T19:00:00,2,6.82,23.53
2025-09-15T19:00:00,3,8.33,27.73
2025-09-15T19:01:00,1,7.87,25.80
2025-09-15T19:01:00,2,6.81,23.52
2025-09-15T19:01:00,3,8.34,27.75
2025-09-15T19:02:00,1,7.88,25.82
2025-09-15T19:02:00,2,6.81,23.51
2025-09-15T19:02:00,3,8.35,27.77
2025-09-15T19:03:00,1,7.88,25.84
2025-09-15T19:03:00,2,6.81,23.50
2025-09-15T19:03:00,3,8.36,27.79
2025-09-15T19:04:00,1,7.89,25.86
2025-09-15T19:04:00,2,6.81,23.48
2025-09-15T19:04:00,3,8.37,27.81
2025-09-15T19:05:00,1,7.90,25.88
2025-09-15T19:05:00,2,6.80,23.47
2025-09-15T19:05:00,3,8.38,27.83
2025-09-15T19:06:00,1,7.91,25.90
2025-09-15T19:06:00,2,6.80,23.46
2025-09-15T19:06:00,3,8.38,27.85
2025-09-15T19:07:00,1,7.92,25.92
2025-09-15T19:07:00,2,6.80,23.45
2025-09-15T19:07:00,3,8.39,27.87
2025-09-15T19:08:00,1,7.92,25.94
2025-09-15T19:08:00,2,6.80,23.44
2025-09-15T19:08:00,3,8.40,27.89
2025-09-15T19:09:00,1,7.93,25.95
2025-09-15T19:09:00,2,6.80,23.43
2025-09-15T19:09:00,3,8.41,27.91
2025-09-15T19:10:00,1,7.94,25.97
2025-09-15T19:10:00,2,6.79,23.42
2025-09-15T19:10:00,3,8.41,27.93
2025-09-15T19:11:00,1,7.95,25.99
2025-09-15T19:11:00,2,6.79,23.41
2025-09-15T19:11:00,3,8.42,27.94
2025-09-15T19:12:00,1,7.95,26.01
2025-09-15T19:12:00,2,6.79,23.40
2025-09-15T19:12:00,3,8.43,27.96
2025-09-15T19:13:00,1,7.96,26.03
2025-09-15T19:13:00,2,6.79,23.39
2025-09-15T19:13:00,3,8.43,27.98
2025-09-15T19:14:00,1,7.97,26.05
2025-09-15T19:14:00,2,6.79,23.38
2025-09-15T19:14:00,3,8.44,28.00
2025-09-15T19:15:00,1,7.97,26.06
2025-09-15T19:15:00,2,6.79,23.37
2025-09-15T19:15:00,3,8.45,28.01
2025-09-15T19:16:00,1,7.98,26.08
2025-09-15T19:16:00,2,6.79,23.36
2025-09-15T19:16:00,3,8.45,28.03
2025-09-15T19:17:00,1,7.99,26.10
2025-09-15T19:17:00,2,6.79,23.35
2025-09-15T19:17:00,3,8.46,28.05
2025-09-15T19:18:00,1,7.99,26.12
2025-09-15T19:18:00,2,6.79,23.34
2025-09-15T19:18:00,3,8.46,28.06
2025-09-15T19:19:00,1,8.00,26.13
2025-09-15T19:19:00,2,6.79,23.33
2025-09-15T19:19:00,3,8.47,28.08
2025-09-15T19:20:00,1,8.00,26.15
2025-09-15T19:20:00,2,6.79,23.32
2025-09-15T19:20:00,3,8.47,28.09
2025-09-15T19:21:00,1,8.01,26.17
2025-09-15T19:21:00,2,6.79,23.31
2025-09-15T19:21:00,3,8.48,28.11
2025-09-15T19:22:00,1,8.01,26.18
2025-09-15T19:22:00,2,6.79,23.30
2025-09-15T19:22:00,3,8.48,28.12
2025-09-15T19:23:00,1,8.02,26.20
2025-09-15T19:23:00,2,6.79,23.29
2025-09-15T19:23:00,3,8.49,28.14
2025-09-15T19:24:00,1,8.02,26.22
2025-09-15T19:24:00,2,6.79,23.29
2025-09-15T19:24:00,3,8.49,28.15
2025-09-15T19:25:00,1,8.03,26.23
2025-09-15T19:25:00,2,6.79,23.28
2025-09-15T19:25:00,3,8.49,28.17
2025-09-15T19:26:00,1,8.03,26.25
2025-09-15T19:26:00,2,6.79,23.27
2025-09-15T19:26:00,3,8.50,28.18
2025-09-15T19:27:00,1,8.04,26.26
2025-09-15T19:27:00,2,6.80,23.26
2025-09-15T19:27:00,3,8.50,28.19
2025-10-15T18:24:00,1,7.89,27.45
2025-10-15T18:24:00,2,7.38,26.38
2025-10-15T18:24:00,3,8.39,29.41
2025-10-15T18:25:00,1,7.89,27.44
2025-10-15T18:25:00,2,7.38,26.37
2025-10-15T18:25:00,3,8.38,29.40
2025-10-15T18:26:00,1,7.88,27.42
2025-10-15T18:26:00,2,7.37,26.35
2025-10-15T18:26:00,3,8.38,29.38
2025-10-15T18:27:00,1,7.87,27.40
2025-10-15T18:27:00,2,7.36,26.33
2025-10-15T18:27:00,3,8.37,29.36
2025-10-15T18:28:00,1,7.87,27.39
2025-10-15T18:28:00,2,7.36,26.32
2025-10-15T18:28:00,3,8.36,29.35